Date,Symbol,Status,Market,Side,Qty,Entry,Exit,Entry Total,Exit Total,Position,Return ($),Return (%),Dividends,Open Date,Tags,Setup,Confidence,Target,Stop,Notes
2026-07-01T14:28:35.000Z,AMDL,LOSS,STOCK,LONG,15,77.7,76.5,1165.5,1147.5,0,-20.03,-1.72,0,2026-07-01T14:27:19.000Z,,,0,80,77,
2026-07-02T14:54:15.000Z,PLTR,LOSS,OPTION,LONG,3,1.52,1.16,456,348,0,-111.24,-24.39,0,2026-07-02T13:42:23.000Z,,,0,,,
2026-07-02T14:58:53.000Z,HOOD,WIN,OPTION,LONG,3,0.92,1.13,276,339,0,58.09,21.05,0,2026-07-02T13:53:04.000Z,,,0,,,
2026-07-02T15:01:34.000Z,TSLQ,WIN,STOCK,LONG,80,18.02,18.23,1441.6,1458.4,0,11.39,0.79,0,2026-07-02T14:22:27.000Z,,,0,18.3,18,
2026-07-07T14:16:41.000Z,INTC,WIN,OPTION,LONG,5,3.36,3.61,1680,1805,0,119.65,7.13,0,2026-07-07T13:53:10.000Z,mistake:Early exit; mistake:Moved stop; emotion:Anxious,Pullback,3,4.2,3.2,
2026-07-08T15:59:34.000Z,MULL,WIN,STOCK,LONG,60,24.33,24.59,1459.8,1475.4,0,11.67,0.8,0,2026-07-08T13:58:51.000Z,mistake:Early exit; mistake:No plan; emotion:Anxious,Pullback,0,25,24,
2026-07-09T13:57:58.000Z,INTC,LOSS,OPTION,LONG,6,2.85,2.82,1710,1692,0,-24.57,-1.44,0,2026-07-09T13:51:41.000Z,,,0,3,2.7,
2026-07-09T14:07:17.000Z,TSLL,LOSS,STOCK,LONG,125,12.5,12.4,1562.5,1550,0,-15.19,-0.97,0,2026-07-09T14:04:43.000Z,,,0,13,12.4,
2026-07-09T14:13:57.000Z,QQQ,WIN,OPTION,LONG,3,1.99,2.42,597,726,0,123.69,20.72,0,2026-07-09T14:09:58.000Z,,,0,3,1.85,
2026-07-09T14:24:16.000Z,SQQQ,WIN,STOCK,LONG,30,39.1,39.28,1173,1178.4,0,2.37,0.2,0,2026-07-09T14:18:21.000Z,,,0,40,38.5,
2026-07-10T15:26:56.000Z,SSPC,LOSS,STOCK,LONG,125,13.24,13.1,1655,1637.5,0,-19.56,-1.18,0,2026-07-10T15:19:49.000Z,,,0,,,
2026-07-10T15:31:16.000Z,NVDA,WIN,OPTION,LONG,3,2.3,2.43,690,729,0,36.84,5.34,0,2026-07-10T15:19:46.000Z,,,0,,,
2026-07-10T15:38:10.000Z,TSLA,LOSS,OPTION,LONG,1,1.18,1.01,118,101,0,-18.12,-15.36,0,2026-07-10T15:19:43.000Z,,,0,,,
2026-07-10T15:40:17.000Z,TSLA,WIN,OPTION,LONG,1,1.8,2,180,200,0,18.88,10.49,0,2026-07-10T15:18:34.000Z,,,0,,,
2026-07-10T15:43:11.000Z,SSPC,LOSS,STOCK,LONG,120,13.17,13.18,1580.4,1581.6,0,-1.86,-0.12,0,2026-07-10T15:41:29.000Z,,,0,,,
2026-07-14T14:18:47.000Z,NVDA,LOSS,OPTION,LONG,3,1.64,1.45,492,435,0,-61.15,-12.43,0,2026-07-14T14:09:34.000Z,,,0,,,IBKR 2026-07-14 — JUL 17 '26 200 Put
2026-07-14T14:24:10.000Z,SPCH,LOSS,STOCK,LONG,150,10.34,10.25,1551,1537.5,0,-15.43,-0.99,0,2026-07-14T14:22:35.000Z,,,0,,,IBKR 2026-07-14
2026-07-14T20:34:18.000Z,RAM,WIN,STOCK,LONG,90,16.62,16.68,1495.8,1501.2,0,3.35,0.22,0,2026-07-14T19:56:33.000Z,,,0,17,16.55,
2026-07-15T13:48:45.000Z,AAPL,WIN,OPTION,LONG,4,0.95,1.27,380,508,0,124.16,32.67,0,2026-07-15T13:42:18.000Z,,,,,,
2026-07-16T21:40:54.000Z,TSLA,LOSS,OPTION,LONG,5,2.09,2.08,1045,1040,0,-14.6,-1.4,0,2026-07-16T21:35:19.000Z,,,,,,
2026-07-16T21:49:59.000Z,TSLA,WIN,OPTION,LONG,3,2.29,2.43,687,729,0,39.96,5.82,0,2026-07-16T21:43:16.000Z,,,,,,
2026-07-16T22:00:58.000Z,TSLQ,LOSS,STOCK,LONG,80,18.89,18.65,1511.2,1492,0,-20.85,-1.38,0,2026-07-16T21:58:03.000Z,,,,,,
2026-07-16T22:12:28.000Z,RAM,LOSS,STOCK,LONG,130,13.07,12.89,1699.1,1675.7,0,-25.46,-1.5,0,2026-07-16T22:09:47.000Z,,,,,,
2026-07-17T21:54:21.000Z,MRVL,LOSS,OPTION,LONG,3,1.72,1.36,516,408,0,-110.52,-21.42,0,2026-07-17T21:43:09.000Z,,,,,,
2026-07-17T22:34:58.000Z,NVDA,LOSS,OPTION,LONG,2,1.33,1.18,266,236,0,-31.68,-11.91,0,2026-07-17T22:33:35.000Z,,,,,,
2026-07-17T22:41:18.000Z,NVDA,WIN,OPTION,LONG,5,0.65,0.66,325,330,0,1.4,0.43,0,2026-07-17T22:36:25.000Z,,,,,,
2026-07-20T13:51:49.000Z,NVDA,LOSS,OPTION,LONG,5,1.43,1.1,715,550,0,-171.83,-24.1,0,2026-07-20T13:35:51.000Z,mistake:No plan; emotion:Overconfident,Pullback,2,,,"## Exit reason
break structure"
2026-07-20T14:31:11.000Z,TSLA,WIN,OPTION,LONG,2,6.04,6.3,1208,1260,0,49.51,4.1,0,2026-07-20T14:05:40.000Z,mistake:Early exit,Pullback,4,,,"## Session
New York AM"
2026-07-21T13:56:20.000Z,AMD,LOSS,OPTION,LONG,2,5.97,5.79,1194,1158,0,-39.49,-3.31,0,2026-07-21T13:49:30.000Z,,,,,,
2026-07-21T14:14:06.000Z,QQQ,LOSS,OPTION,LONG,5,2.07,1.82,1035,910,0,-131.94,-12.75,0,2026-07-21T14:09:44.000Z,,,,,,
2026-07-21T14:17:06.000Z,QQQ,LOSS,OPTION,LONG,5,2.16,2.09,1080,1045,0,-41.94,-3.88,0,2026-07-21T14:16:31.000Z,,,,,,
2026-07-22T00:00:00.000Z,INTC,WIN,OPTION,LONG,3,1.94,2.18,582,654,0,67.84,11.66,0,2026-07-21T22:20:05.000Z,,,,,,
2026-07-22T00:00:15.000Z,RAM,WIN,STOCK,LONG,50,14.2,14.65,710,732.5,0,20.48,2.88,0,2026-07-21T22:30:35.000Z,,,,,,
